Latitude,Longitude,Lanes_Blocked,is_self_accident,acc_year,acc_month,acc_day,acc_weekday,acc_hour,Direction_Numeric,Involved_car,Involved_bus,Involved_van,Involved_sportsveh,Involved_truck,Involved_taxi,Involved_motorcycle,Involved_puj,Involved_pick,Involved_uv,Involved_elf,Involved_trailer,Involved_pedestrian,Involved_rallyist,Involved_bicycle,Sum
14.61474,121.070685,1.0,0,2018,8,22,2,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14.554949,121.034967,1.0,0,2018,8,22,2,10,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
14.555822,121.035928,1.0,0,2018,8,22,2,10,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
14.561892000000002,121.04307,1.0,0,2018,8,22,2,10,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
14.603015,121.079256,1.0,0,2018,8,22,2,10,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3
14.582431,121.054467,1.0,0,2018,8,22,2,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
14.65424,121.049788,1.0,0,2018,8,22,2,14,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14.582431,121.054467,1.0,0,2018,8,22,2,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
14.65424,121.049788,1.0,0,2018,8,22,2,14,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
14.559551,120.987075,1.0,0,2018,8,22,2,14,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4
14.631692,121.074217,1.0,0,2018,8,22,2,14,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14.638481,121.07453999999998,1.0,0,2018,8,22,2,14,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14.631692,121.074217,1.0,0,2018,8,22,2,14,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
14.621657999999998,121.106498,1.0,0,2018,8,22,2,14,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3
14.62385,121.049123,1.0,0,2018,8,22,2,15,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.708553,121.062717,1.0,0,2018,8,22,2,15,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
14.554949,121.034967,1.0,0,2018,8,22,2,16,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
14.648291,121.0744,1.0,0,2018,8,22,2,16,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
14.605472,121.079122,1.0,0,2018,8,22,2,16,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
14.643822,120.993705,1.0,0,2018,8,22,2,16,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14.582431,121.054467,2.0,0,2018,8,22,2,17,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
14.599652,121.05969,1.0,0,2018,8,22,2,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.566348,121.045356,1.0,0,2018,8,22,2,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.499519,121.039452,1.0,0,2018,8,22,2,18,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14.628351,121.013365,1.0,0,2018,8,22,2,20,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.66533,121.070469,1.0,0,2018,8,22,2,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
14.566348,121.045356,1.0,0,2018,8,22,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.566348,121.048658,1.0,0,2018,8,22,2,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14.566348,121.055583,1.0,0,2018,8,23,3,7,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
14.628351,121.013365,1.0,0,2018,8,23,3,8,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
14.652928,121.031852,1.0,0,2018,8,23,3,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.652928,121.031852,1.0,0,2018,8,23,3,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.564141,121.069619,1.0,0,2018,8,23,3,8,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
14.540271,121.016837,2.0,0,2018,8,23,3,8,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
14.616404,121.052548,1.0,0,2018,8,23,3,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.607495000000002,120.994955,1.0,0,2018,8,23,3,9,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
14.554949,121.034967,1.0,0,2018,8,23,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.628035,121.047229,1.0,0,2018,8,23,3,10,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
14.628035,121.095678,1.0,0,2018,8,23,3,10,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
14.644291,121.074626,1.0,0,2018,8,23,3,10,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
14.550028,121.029058,1.0,0,2018,8,23,3,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
14.621218,121.10425,2.0,0,2018,8,23,3,12,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
14.621218,121.047569,1.0,0,2018,8,23,3,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
14.60728,121.078528,1.0,0,2018,8,23,3,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.559818,121.040737,1.0,0,2018,8,23,3,14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14.581153,121.053565,1.0,0,2018,8,23,3,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14.657668,121.017212,1.0,0,2018,8,23,3,16,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
14.601845999999998,121.046754,1.0,0,2018,8,23,3,17,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
14.549718,121.05755,2.0,0,2018,8,23,3,17,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
14.556079,121.062936,2.0,0,2018,8,23,3,17,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
14.556079,121.062936,2.0,0,2018,8,23,3,17,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
14.559818,121.040737,2.0,0,2018,8,23,3,20,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
14.667917999999998,121.033972,1.0,0,2018,8,23,3,20,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
14.576702,121.050365,1.0,0,2018,8,23,3,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.652928,121.031852,2.0,0,2018,8,23,3,20,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
14.652928,121.052548,1.0,0,2018,8,23,3,21,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
